id,target
0,7.607444
5,7.723912
15,7.626806
16,7.5461
17,7.217258
19,7.36039
20,7.152807
21,7.863692
23,7.2134
29,7.394464
31,7.492185
32,7.489382
33,7.489808
34,7.593639
35,7.948073
37,7.509936
38,7.20472
39,7.74919
40,7.340991
44,7.21444
49,7.785628
53,7.723892
56,7.478744
60,7.743972
61,7.157861
63,6.734946
64,7.897046
66,7.167092
70,7.528764
71,7.086698
72,7.318076
75,7.688536
76,7.39779
78,7.451728
85,7.348366
86,7.10502
89,7.737854
90,7.344972
92,7.602011
93,7.251392
94,7.419758
100,7.696241
101,7.522724
102,7.70829
105,6.984466
106,7.556919
107,7.30234
108,7.86357
109,7.785195
112,7.511084
113,7.908908
116,7.560822
117,7.3292
118,7.623811
120,7.542454
129,7.204691
130,7.36718
132,7.468298
133,7.832696
134,7.542376
136,7.352773
137,7.80644
141,7.251184
142,7.593211
152,7.589532
154,7.737206
156,7.390925
160,7.363098
161,7.324104
166,7.369504
170,7.603346
173,7.350827
174,7.726372
175,7.616546
179,7.557988
182,7.315697
186,7.136448
188,7.498764
189,7.293056
191,8.03406
193,7.182736
194,7.531422
195,7.697344
196,7.755888
197,7.738378
199,7.595774
200,7.149908
202,7.044018
203,7.887252
204,7.211532
206,7.828054
207,7.350166
212,7.456526
217,7.792032
218,7.530566
220,7.276077
224,7.326936
225,7.391771
229,7.491675
230,7.676987
234,7.439176
235,7.513002
238,7.55393
239,7.639586
241,7.464702
243,7.266947
245,7.26953
247,7.531614
251,7.547244
252,7.152944
253,7.572118
255,7.669801
256,7.262297
258,7.722035
259,7.414952
260,7.32624
263,7.419296
264,7.446944
266,7.266008
267,7.295344
268,7.128704
270,7.300689
273,7.433647
274,7.401882
275,8.348644
276,7.379334
277,7.651426
281,7.509454
282,7.465466
285,7.42805
292,7.314708
293,7.387499
295,7.754267
298,7.317744
299,7.590659
300,7.716256
301,7.541847
302,7.443566
309,7.7414
311,7.547741
316,7.37902
317,7.327132
319,7.889076
321,6.959927
322,7.814715
324,7.599182
328,7.88853
329,8.088678
331,7.06366
334,7.430393
337,7.185242
338,7.203652
340,7.233602
344,7.916266
349,8.075633
350,7.498852
351,7.348124
354,7.709554
356,7.611917
358,7.355968
361,7.551703
364,7.681232
365,7.295998
370,7.714524
372,7.138998
374,7.310257
375,7.341432
376,7.388829
379,7.29299
380,7.639124
382,7.411506
383,7.411143
385,7.102687
389,7.047788
392,7.078069
394,7.635229
395,7.787183
398,7.501109
400,7.594476
402,7.714024
403,6.87255
406,8.141566
410,7.979322
412,7.449506
413,7.610486
417,7.59939
418,8.0452
419,7.247893
420,6.920893
423,7.184419
424,7.467984
426,7.690799
427,7.532856
432,8.192067
434,7.329772
438,7.134184
441,7.206568
443,7.260148
448,7.127333
449,7.41472
451,7.303586
452,7.428554
457,7.579595
458,8.076326
459,7.465754
464,7.645827
465,7.758196
467,7.674909
471,7.358412
472,7.505227
477,7.640746
478,7.47371
480,7.28187
483,7.55832
487,6.863056
489,7.608216
491,7.60512
492,7.341506
496,7.439918
500,7.270794
501,7.528266
502,7.695554
503,7.5123
505,7.450732
506,7.185213
514,7.46725
517,7.470779
519,7.145788
522,7.232158
523,7.819269
528,7.750324
530,7.210325
532,6.673722
535,7.230118
538,7.166865
542,7.106908
546,7.384404
548,7.518294
550,7.656066
555,7.665767
557,7.594317
559,7.690522
560,7.075746
562,7.423022
566,7.235522
567,7.370544
569,7.068506
571,8.335566
572,7.277732
574,7.379334
577,7.523221
581,7.394709
583,7.460464
587,6.78109
590,6.774702
592,7.572424
593,7.772614
608,7.413922
612,7.064152
614,7.801833
616,7.527596
617,7.310682
625,7.075958
626,7.786176
631,7.369947
633,7.486912
636,7.819544
639,7.318426
641,6.88677
642,7.687918
644,7.987502
645,7.895378
646,7.315595
647,7.517525
649,7.27166
650,7.435132
651,7.411286
653,7.26914
655,7.559088
656,7.452418
662,7.572414
669,7.439026
670,7.620332
673,7.742296
674,7.418698
675,7.032416
685,7.106194
688,8.073624
689,6.837342
690,7.496934
691,7.333996
696,7.1886
698,7.571644
700,7.218892
701,7.202086
702,7.720211
703,7.300503
704,7.359718
706,7.588602
708,7.400242
716,7.400494
717,7.70533
718,7.463648
719,7.578727
720,7.200678
721,7.945582
723,6.883024
725,7.568774
726,6.647752
728,7.320863
730,7.428176
731,7.486915
734,7.107906
736,7.811542
739,7.359554
743,7.148638
747,7.157022
749,7.566441
752,7.260234
759,7.69714
763,7.502889
764,7.314053
765,7.227033
766,7.860354
769,7.235315
776,7.583126
778,6.945393
783,7.294483
784,7.196176
787,7.317273
791,7.508414
792,7.74965
796,7.655826
799,7.17875
800,7.424578
801,7.353606
803,7.497632
804,6.939268
805,7.709846
806,7.193997
807,7.295828
809,8.00677
811,8.101558
813,7.95659
814,7.961776
815,7.539679
816,7.623148
818,7.234639
822,7.200312
828,7.35199
831,7.138342
832,7.091776
834,7.772981
835,7.501434
836,7.575374
838,7.880017
839,7.871208
842,7.071995
845,7.854648
846,7.595808
848,7.303586
852,7.144205
856,7.205562
857,7.705978
860,7.319696
869,7.164018
871,7.906677
876,7.463944
885,6.85751
887,7.6437
888,7.598836
889,7.57237
891,7.659528
895,7.817404
902,7.492375
903,7.656795
905,7.605886
907,7.451028
908,7.0783
909,7.796124
910,7.051217
911,7.885041
913,7.052852
914,7.688602
916,7.322266
917,7.575578
919,7.21119
923,7.667919
924,7.594382
925,7.383866
926,7.303673
929,7.615979
930,7.792597
931,7.406738
936,7.379708
937,7.578412
947,7.290277
949,6.874803
952,7.0811
955,7.154788
956,7.615138
961,7.504835
963,7.533717
964,7.452188
966,7.76308
968,7.301422
969,7.890073
971,7.425064
974,7.729268
980,7.76238
981,7.313208
982,7.58621
983,7.352995
984,7.241599
986,7.069647
992,7.398062
993,7.14777
994,7.385554
998,7.73955
999,7.673915
1004,7.75337
1006,7.486793
1007,7.573283
1011,7.531458
1012,7.903394
1014,7.204139
1020,7.919882
1021,7.479436
1023,7.42607
1025,7.064363
1026,7.12314
1027,7.606553
1033,7.784282
1034,7.370735
1038,7.597076
1040,7.430249
1043,7.211043
1045,7.899622
1046,7.19714
1048,7.346168
1049,7.773826
1052,7.679856
1054,7.262404
1055,7.524018
1056,7.45101
1058,7.281462
1060,7.175658
1064,7.224808
1067,7.571527
1069,7.06867
1070,7.40875
1072,7.232634
1077,7.373197
1082,7.277222
1086,7.905426
1091,7.608206
1093,7.409208
1097,7.115112
1101,7.317033
1104,7.40086
1106,7.521721
1107,7.893627
1109,7.453476
1113,7.345236
1115,7.175136
1119,7.853814
1120,7.669954
1123,6.40399
1131,7.497722
1132,7.62116
1134,7.355584
1136,7.157162
1137,7.621208
1138,7.611186
1139,7.570484
1141,7.613641
1143,7.295726
1144,7.003078
1145,7.931878
1149,7.20996
1150,7.781822
1153,7.25682
1155,7.219472
1160,7.638232
1163,7.186229
1165,7.155141
1166,7.764595
1169,7.48718
1172,7.790192
1173,7.143026
1175,7.090388
1177,7.901391
1182,7.672704
1184,7.498636
1186,7.28225
1188,6.937414
1193,7.153492
1196,6.912732
1198,7.217729
1199,7.815657
1202,8.011571
1203,7.578612
1208,7.814504
1210,7.252043
1211,7.484124
1213,7.796738
1221,7.74808
1222,7.184179
1226,7.314356
1227,7.579779
1229,7.389658
1230,7.584244
1231,7.356936
1232,7.258828
1233,7.148126
1234,7.650709
1236,7.320905
1237,7.392091
1241,7.859958
1242,7.869154
1243,7.488115
1247,7.086615
1250,7.723602
1251,7.316156
1254,7.625814
1258,7.871085
1259,7.176178
1260,7.381466
1262,7.450595
1265,6.990724
1267,7.315666
1268,6.911898
1270,8.060354
1271,7.484418
1272,7.565278
1275,7.465664
1276,7.350026
1278,7.89588
1281,7.541308
1282,7.240612
1283,7.459994
1284,7.338548
1286,7.481022
1288,7.99261
1291,7.552238
1293,7.531832
1294,7.475264
1295,7.787687
1299,7.569093
1301,7.198285
1302,7.02763
1303,7.585888
1306,7.212683
1308,7.187269
1310,7.363806
1311,7.471405
1314,7.523453
1317,7.54347
1319,6.836048
1323,7.244372
1325,7.741178
1331,7.413966
1332,7.69209
1335,7.400742
1337,6.971754
1338,7.006446
1340,7.47857
1341,7.064688
1343,7.350382
1345,7.340705
1346,7.425472
1347,7.522041
1349,7.607522
1351,7.705214
1357,7.403484
1364,7.084514
1365,7.458776
1366,7.286852
1369,7.313526
1371,7.257694
1373,7.59505
1382,7.420921
1385,7.64749
1386,7.601166
1389,7.030504
1392,7.885686
1394,7.315259
1398,7.727773
1400,7.144481
1401,7.104835
1403,7.00982
1405,8.033394
1406,7.589676
1413,7.468804
1414,7.308457
1415,7.17023
1420,7.550018
1421,7.408418
1423,7.317001
1426,7.449112
1427,7.448262
1428,7.295025
1429,7.51371
1430,7.33674
1431,6.914714
1432,7.691375
1434,7.304636
1435,7.851181
1436,7.900321
1439,7.955848
1443,7.127136
1444,7.536966
1445,7.171337
1447,7.878046
1450,7.293867
1451,7.770084
1452,7.615252
1453,7.442952
1454,7.393628
1455,7.620868
1457,7.085382
1459,7.13498
1466,7.570989
